"Step","stage2-uvit-20260526-011258 - epoch","stage2-uvit-20260526-011258 - epoch__MIN","stage2-uvit-20260526-011258 - epoch__MAX"
"3943","11","11","11"
"3945","11","11","11"
"3951","11","11","11"
"3952","11","11","11"
"3954","11","11","11"
"3956","11","11","11"
"3959","11","11","11"
"3962","11","11","11"
"3967","11","11","11"
"3969","11","11","11"
"3975","11","11","11"
"3977","11","11","11"
"3979","11","11","11"
"3994","11","11","11"
"3999","11","11","11"
"4001","11","11","11"
"4003","11","11","11"
"4010","11","11","11"
"4013","11","11","11"
"4017","11","11","11"
"4022","11","11","11"
"4026","11","11","11"
"4033","11","11","11"
"4041","11","11","11"
"4055","11","11","11"
"4067","11","11","11"
"4075","11","11","11"
"4092","11","11","11"
"4101","11","11","11"
"4102","11","11","11"
"4103","11","11","11"
"4105","11","11","11"
"4106","11","11","11"
"4115","11","11","11"
"4116","11","11","11"
"4127","11","11","11"
"4132","11","11","11"
"4141","11","11","11"
"4142","11","11","11"
"4148","11","11","11"
"4149","11","11","11"
"4152","11","11","11"
"4163","11","11","11"
"4164","11","11","11"
"4176","11","11","11"
"4178","11","11","11"
"4182","11","11","11"
"4185","11","11","11"
"4189","11","11","11"
"4198","11","11","11"
"4199","11","11","11"
"4211","11","11","11"
"4213","11","11","11"
"4214","11","11","11"
"4223","11","11","11"
"4230","11","11","11"
"4245","11","11","11"
"4248","11","11","11"
"4252","11","11","11"
"4271","11","11","11"
"4273","11","11","11"
"4276","11","11","11"
"4282","11","11","11"
"4296","11","11","11"
"4298","11","11","11"
"4309","11","11","11"
"4315","11","11","11"
"4319","11","11","11"
"4322","11","11","11"
"4329","11","11","11"
"4330","11","11","11"
"4338","11","11","11"
"4339","11","11","11"
"4342","11","11","11"
"4345","11","11","11"
"4346","11","11","11"
"4350","11","11","11"
"4359","11","11","11"
"4360","11","11","11"
"4370","11","11","11"
"4378","11","11","11"
"4380","11","11","11"
"4385","11","11","11"
"4393","11","11","11"
"4403","11","11","11"
"4405","11","11","11"
"4406","11","11","11"
"4407","11","11","11"
"4409","11","11","11"
"4412","11","11","11"
"4414","11","11","11"
"4416","11","11","11"
"4421","11","11","11"
"4425","11","11","11"
"4426","11","11","11"
"4430","11","11","11"
"4438","11","11","11"
"4444","11","11","11"
"4446","11","11","11"
"4448","11","11","11"
"4449","11","11","11"
"4454","11","11","11"
"4466","11","11","11"
"4469","11","11","11"
"4479","11","11","11"
"4482","11","11","11"
"4487","11","11","11"
"4488","11","11","11"
"4490","11","11","11"
"4492","11","11","11"
"4495","11","11","11"
"4503","11","11","11"
"4504","11","11","11"
"4506","11","11","11"
"4511","11","11","11"
"4513","11","11","11"
"4523","11","11","11"
